,text
140,Thanks my friend https://t.co/EpPdNHbhl2
141,Thanks a lot! https://t.co/cDE8YBKFA5
142,Thank u https://t.co/y5UBIVNU8z
143,Thanks for the love and wishes always https://t.co/mkwXKvec9t
144,Thank u baby https://t.co/cLDWIdNtnP
145,Thanks a lot! https://t.co/TVfeDPOqmf
146,Thank u and lots of love https://t.co/yn4bcBK2r0
147,Thank u https://t.co/xdqhxViq8G
148,Thank you for the wishes! https://t.co/D7kyCsbqX8
149,Thank u so much! To u too... https://t.co/UnTFRiriz8
150,Thanks and more power to u too! https://t.co/zrkoNoX89Y
151,Thanks! Lots of love to u https://t.co/HbFP4DfVVA
152,Thank you for the wishes and more power to them... https://t.co/sm5cg5u5va
153,Thank u Turbanator! https://t.co/WtfGvzqP5A
154,Thank u! https://t.co/5Djv1MG2Oe
155,Thanks bro https://t.co/irY0KaS4Lx
156,Thank u baby https://t.co/s0O4MfupuJ
157,Thank u so much! Was fun doing this https://t.co/lDj48zSzpU
158,Awesome... thank u baby!! https://t.co/9zDX9z5856
159,Thank u baby... https://t.co/VbA90JuWqf
160,"I am and will always be your fan sir. The kindness you showed me when we met for the first time, gave me the confid… https://t.co/fzuXxauhhg"
161,Thanks! https://t.co/Clu9IjAUlq
162,Thank you so much. Even you are no less on pitch and off it my friend. https://t.co/n9wgSf9sCf
163,Thank u thank u. Come and see me na soon. Love you https://t.co/LYSEJDhdsY
164,Big big hug to you baby. Be happy and as lovely as you always are. https://t.co/O0Mys7VZjv
165,Thank u so much. Love to u and you too have a wonderful year and life. https://t.co/WDfHRW6wwI
166,Amidst all the thank yous for the love showered upon me today n the last two days...a special programme is out on H… https://t.co/eziOdbuIkc
167,@BeingSalmanKhan Thank u bhai. Aapko bahut miss kiya aaj. But you were making people happy in Hyderabad which is my… https://t.co/2DuUcRZZPG
168,"To my brother, the awesomely cool Mr. @Mohamed_Alabbar and @BurjKhalifa  @emaardubai. Thanks for making me shine so… https://t.co/NNdlHO9udR"
169,Thank you all for making my birthday so special. Love you always... https://t.co/b1mpW4Anl0
170,"Some wonderful young minds who surely will inspire thousands more, to take our country and the world towards a safe… https://t.co/4OjBHCJUsM"
171,Just saw Parasite the South Korean movie on my kids recommendation. What a delightfully discomforting film. A  biza… https://t.co/34Xt5X2MoV
172,Suddenly just...missed Yashji. Maybe it’s the singers cap?  https://t.co/zrep9xUgaj
173,#HappyDiwali to everyone. May your lives be lit up and happy. https://t.co/3ppOAvhTmd
174,"So you finally settle down on your soft bed, with your softer littlest one &amp; say, “let’s watch something new today.… https://t.co/GSMYqOnpzo"
175,We have come a long way baby!! https://t.co/ZdiVqIWcFE
176,यह हिंदी में भी है ना??? शुक्रिया https://t.co/Wvan3TTzyq
177,Thank u @MeerFoundation for the initiative of #ToGetHerTransformed and best of luck and health to the 120 ladies wh… https://t.co/gzWLVKoTnr
